INCOME,SPEND
233,150
250,187
204,172
236,178
354,163
192,148
294,153
263,173
199,162
168,174
239,160
275,139
266,171
211,144
283,162
219,158
340,172
226,114
247,171
239,151
234,161
233,179
226,178
243,137
199,178
302,162
212,157
175,123
417,157
197,152
198,168
177,140
219,188
273,152
213,125
177,160
304,170
232,165
269,148
360,151
308,142
245,180
208,148
264,143
321,182
325,172
235,180
257,156
216,115
234,160
256,149
302,151
231,146
141,175
252,172
201,158
222,186
260,185
182,174
303,159
265,130
309,156
186,190
203,132
211,165
183,182
222,143
234,175
220,170
209,163
258,147
227,154
204,202
261,186
213,165
250,161
245,166
221,164
205,184
240,154
250,179
308,170
318,160
298,178
265,122
264,160
277,151
197,156
214,158
248,122
255,175
207,168
223,169
288,159
160,138
226,111
394,157
233,147
315,162
246,173
244,178
270,145
195,179
240,194
196,163
211,115
234,131
236,152
244,162
254,159
325,154
126,173
313,133
211,161
262,155
215,170
214,168
193,162
204,172
243,152
303,122
271,182
268,172
267,167
199,179
210,192
204,143
277,172
196,169
269,121
201,163
271,162
295,162
235,153
306,163
269,163
178,96
208,140
201,126
263,105
295,157
303,181
209,173
223,142
197,116
245,143
242,149
240,171
226,169
180,150
228,138
149,125
227,155
278,152
220,152
197,131
253,179
192,174
220,144
221,163
240,169
342,166
157,182
175,173
175,173
286,108
229,129
268,160
254,147
203,155
256,142
229,168
284,160
224,173
206,132
167,114
230,160
335,158
177,120
276,112
353,132
225,114
330,169
230,165
243,128
290,153
253,144
266,109
233,163
172,158
305,142
216,131
188,113
282,142
185,155
326,140
231,147
254,163
267,99
248,158
197,177
258,141
270,111
274,150
164,145
255,161
239,142
258,157
188,139
177,162
229,150
260,140
219,140
307,146
249,144
341,136
263,97
330,132
254,127
256,150
407,154
217,111
282,174
288,133
239,126
174,125
281,103
198,130
288,159
309,131
243,152
289,124
289,145
246,96
322,109
299,173
300,171
293,170
304,162
282,156
269,112
249,143
212,132
274,88
184,105
274,166
409,150
246,120
283,195
254,146
298,122
247,143
294,106
299,125
273,125
309,147
259,130
200,126
244,154
231,182
228,165
230,160
282,95
269,169
206,108
212,132
327,117
149,126
286,116
283,103
249,144
234,145
237,71
234,156
275,118
212,168
218,105
261,141
319,152
166,125
315,125
204,156
218,134
223,181
207,138
311,120
204,162
232,164
335,143
205,130
203,161
318,140
225,146
212,150
169,144
187,144
197,136
176,90
241,123
264,132
193,141
131,115
236,174
